scorer,DLC_resnet101_multipointsFeb7shuffle1_26000.3,DLC_resnet101_multipointsFeb7shuffle1_26000.4,DLC_resnet101_multipointsFeb7shuffle1_26000.5,DLC_resnet101_multipointsFeb7shuffle1_26000.9,DLC_resnet101_multipointsFeb7shuffle1_26000.10,DLC_resnet101_multipointsFeb7shuffle1_26000.11,DLC_resnet101_multipointsFeb7shuffle1_26000.39,DLC_resnet101_multipointsFeb7shuffle1_26000.40,DLC_resnet101_multipointsFeb7shuffle1_26000.41,DLC_resnet101_multipointsFeb7shuffle1_26000.42,DLC_resnet101_multipointsFeb7shuffle1_26000.43,DLC_resnet101_multipointsFeb7shuffle1_26000.44,DLC_resnet101_multipointsFeb7shuffle1_26000.45,DLC_resnet101_multipointsFeb7shuffle1_26000.46,DLC_resnet101_multipointsFeb7shuffle1_26000.47
bodyparts,bodypart2,bodypart2,bodypart2,bodypart4,bodypart4,bodypart4,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1216.366333,653.4299316,0.517096937,1210.56311,649.1374512,0.026427366,1210.787109,654.7297363,0.071451619,1216.470581,682.2617798,0.024177041,743.5441895,214.4582214,0.042178657
1,1218.051636,655.3519897,0.625944257,1210.459717,634.1732178,0.027082799,1211.05835,655.0667114,0.076908782,1216.029419,681.6057129,0.022760581,743.4289551,214.3854675,0.039965197
2,1217.77417,655.6829224,0.591904938,1210.282471,648.7930298,0.023310263,1211.366211,655.4481201,0.071749888,1215.204956,682.4017334,0.021905798,743.2989502,214.3069,0.038455516
3,1217.034912,656.5621948,0.638203502,1210.717407,634.0072021,0.029077344,1210.769043,656.7854614,0.066640183,1214.850586,683.3087769,0.021891236,743.2670898,214.4436493,0.038932968
4,1217.564209,656.6104126,0.600035787,1210.399536,633.7219238,0.028325135,1205.707642,655.9891968,0.07232675,746.9005737,217.5608368,0.018140372,743.3583374,214.478363,0.040397268
5,1216.3125,656.9136963,0.695969164,1210.498779,634.5835571,0.020859623,1204.721558,656.7963257,0.068729796,746.8106689,217.6662445,0.016943008,743.2238159,214.6184845,0.039093103
6,1208.95813,655.951355,0.662668169,1210.479736,634.7368164,0.021403581,1204.676514,657.0532227,0.063773759,1212.841431,661.8066406,0.017766748,743.1046143,214.6363525,0.038448066
7,1208.139771,656.7971191,0.723536968,1210.153198,634.7498779,0.022738531,1203.688599,657.3596191,0.06162009,1212.517944,662.0593262,0.01884209,743.0855713,214.5636597,0.039147906
8,1207.799316,657.3601685,0.702265799,1210.71936,633.9951172,0.026395487,1203.562134,657.8651123,0.070820846,1214.948853,672.6143799,0.01881361,743.0252686,214.4430389,0.040087998
