Unnamed: 0,bodypart2_x,bodypart2_y,bodypart2_p,bodypart4_x,bodypart4_y,bodypart4_p,bodypart14_x,bodypart14_y,bodypart14_p,bodypart15_x,bodypart15_y,bodypart15_p,bodypart16_x,bodypart16_y,bodypart16_p,Fish_mid_x,Fish_mid_y,Fish_mid_p
0,1216.3663,653.42993,0.51709694,1210.5631,649.13745,0.026427366,1210.7871,654.72974,0.07145162,1216.4706,682.2618,0.02417704,743.5442,214.45822,0.042178657,1182.1897,622.89075,
1,1218.0516,655.352,0.62594426,1210.4597,634.1732,0.027082799,1211.0583,655.0667,0.07690878,1216.0294,681.6057,0.022760581,743.42896,214.38547,0.039965197,1190.4413,630.62933,
2,1217.7742,655.6829,0.59190494,1210.2825,648.793,0.023310263,1211.3662,655.4481,0.07174989,1215.205,682.40173,0.021905798,743.29895,214.3069,0.038455516,1189.7144,630.55817,
3,1217.0349,656.5622,0.6382035,1210.7174,634.0072,0.029077344,1210.769,656.78546,0.06664018,1214.8506,683.3088,0.021891236,743.2671,214.44365,0.038932968,1190.5796,632.77563,
4,1217.5642,656.6104,0.6000358,1210.3995,633.7219,0.028325135,1205.7076,655.9892,0.07232675,746.9006,217.56084,0.018140372,743.35834,214.47836,0.040397268,1175.5117,617.3962,
5,1216.3125,656.9137,0.69596916,1210.4988,634.58356,0.020859623,1204.7216,656.7963,0.068729796,746.81067,217.66624,0.016943008,743.2238,214.61848,0.039093103,1181.1409,624.0245,
6,1208.9581,655.95135,0.66266817,1210.4797,634.7368,0.02140358,1204.6765,657.0532,0.06377376,1212.8414,661.80664,0.017766748,743.1046,214.63635,0.038448066,1184.1388,632.49316,
7,1208.1398,656.7971,0.72353697,1210.1532,634.7499,0.022738531,1203.6886,657.3596,0.06162009,1212.518,662.0593,0.01884209,743.0856,214.56366,0.039147906,1184.9501,634.77185,
8,1207.7993,657.36017,0.7022658,1210.7194,633.9951,0.026395487,1203.5621,657.8651,0.070820846,1214.9489,672.6144,0.01881361,743.02527,214.44304,0.040087998,1183.498,634.41034,
9,1207.318,658.45593,0.7887671,1210.2631,635.3074,0.023693293,1203.1332,658.0136,0.08172635,1213.6014,673.6575,0.016668454,743.1324,214.50946,0.0380141,1186.5214,638.7478,
10,1207.2004,660.46387,0.75600845,1210.818,634.95325,0.019040434,1202.5599,658.0507,0.061792865,1201.6697,694.9909,0.02432417,743.1126,214.61713,0.036615115,1186.2356,641.5093,
11,1206.969,662.039,0.7292294,1194.1405,647.99567,0.018380953,1202.4736,658.93756,0.061309163,1202.4336,695.65656,0.018501272,743.1196,214.60826,0.036232118,1185.4244,642.1536,
12,1206.1445,663.19763,0.71286356,430.8623,862.9803,0.01759063,1202.0564,658.92804,0.05875416,1199.4274,708.96674,0.01737459,743.07996,214.60829,0.036247183,1184.0939,643.0213,
13,1206.393,663.15515,0.7439341,1192.0846,716.4552,0.019834617,1203.0153,659.01056,0.056993105,1198.6471,709.1402,0.027191635,743.2859,214.48982,0.038967382,1183.8564,643.1168,
